id,date,y,x1,x2,x3,x4,x5,x6,x7,x8,x9
1,1/1/2007,2013,26.95,27.0565,19687,13.05,1960,67.21,65.63,10289920,6753139
2,2/1/2007,2054,26.30,26.3046,19687,12.14,1961,71.05,65.83,10294100,6776237
3,3/1/2007,2326,27.27,26.7965,19687,11.95,1962,76.93,65.95,10299620,6792762
4,4/1/2007,2183,28.59,27.4137,20740,11.63,1963,70.76,65.99,10304470,6800116
5,5/1/2007,2297,29.91,27.8777,20740,11.81,1964,77.17,65.98,10308150,6801796
6,6/1/2007,2091,30.39,28.146,20740,12,1965,82.34,66.16,10316880,6825958
7,7/1/2007,2037,30.59,28.3877,20721,12.17,1966,92.41,66.1,10326330,6825399
8,8/1/2007,2056,30.40,28.3542,20721,12.53,1967,90.93,66.21,10332210,6840768
9,9/1/2007,1764,30.10,28.6083,20721,12.45,1968,92.18,66.33,10340800,6858922
10,10/1/2007,2187,29.97,29.1219,22641,12.65,1969,94.99,66.29,10348450,6859667
11,11/1/2007,1893,30.70,31.1737,22641,13,1970,103.64,66.36,10353430,6870681
12,12/1/2007,1513,30.76,31.7729,22641,12.94,1971,109.07,66.27,10369120,6871431
13,1/1/2008,1883,30.80,31.3603,21632,13.33,1972,122.8,66.26,10384800,6880955
14,2/1/2008,2169,30.39,30.6834,21632,13.02,1973,132.32,66.36,10392680,6896431
15,3/1/2008,2241,30.50,30.901,21632,13.42,1974,132.72,66.56,10402660,6923802
16,4/1/2008,2733,30.47,31.2297,22246,13.4,1975,113.24,66.62,10411880,6936622
17,5/1/2008,2454,31.78,33.3719,22246,13.41,1976,97.23,66.68,10418850,6947708
18,6/1/2008,2450,32.65,35.0363,22246,13.18,1977,71.58,66.61,10426030,6944766
19,7/1/2008,2675,32.43,34.7042,22181,13.53,1978,52.45,66.62,10433590,6950800
20,8/1/2008,2205,31.37,33.2245,22181,13.48,1979,39.95,66.5,10441150,6943476
21,9/1/2008,2255,31.03,32.4167,22181,13.53,1980,43.44,66.56,10449250,6955200
22,10/1/2008,2231,29.55,30.5448,24309,13.68,1981,43.32,66.51,10456620,6954241
23,11/1/2008,1691,26.26,28.003,24309,13.79,1982,46.54,66.56,10461910,6963423
24,12/1/2008,1523,23.59,25.7261,24309,13.36,1983,50.18,66.37,10465910,6945974
25,1/1/2009,1089,23.14,24.6587,22108,13.98,1984,57.3,65.96,10470040,6906144
26,2/1/2009,1167,24.68,24.9261,22108,14.05,1985,68.61,65.79,10474400,6890842
27,3/1/2009,1690,25.22,24.7748,22108,13.89,1986,64.44,65.69,10478170,6883249
28,4/1/2009,1958,25.84,25.218,22796,13.71,1987,72.51,65.48,10482080,6864083
29,5/1/2009,1788,26.80,25.56,22796,13.65,1988,67.65,65.47,10485880,6865586
30,6/1/2009,1845,28.51,26.4903,22796,13.59,1989,72.77,65.33,10489580,6853279
31,7/1/2009,1877,28.48,26.4426,23091,13.97,1990,76.66,65.18,10493430,6839962
32,8/1/2009,1780,28.69,26.4548,23091,13.98,1991,74.46,65.07,10497230,6830266
33,9/1/2009,1733,28.15,26.0887,23091,14.08,1992,76.17,65.07,10501420,6832914
